date,year,eventLabel,typeLabel,category,impact,source
1915-01-01,1915,Início Primeira Guerra Mundial,Guerra Global,Guerra Global,Alto,Historical_Dataset_Comprehensive
1915-01-01,1915,Consequências de Início Primeira Guerra Mundial...,Guerra Global (Consequências),Guerra Global (Consequências),Médio,Historical_Dataset_Comprehensive
1912-01-01,1912,Evento relacionado a Início Primeira Guer...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1914-01-01,1914,Evento relacionado a Início Primeira Guer...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1915-01-01,1915,Evento relacionado a Início Primeira Guer...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1917-01-01,1917,Fim Primeira Guerra Mundial,Guerra Global,Guerra Global,Alto,Historical_Dataset_Comprehensive
1919-01-01,1919,Consequências de Fim Primeira Guerra Mundial...,Guerra Global (Consequências),Guerra Global (Consequências),Médio,Historical_Dataset_Comprehensive
1916-01-01,1916,Evento relacionado a Fim Primeira Guerra ...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1918-01-01,1918,Evento relacionado a Fim Primeira Guerra ...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1919-01-01,1919,Evento relacionado a Fim Primeira Guerra ...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1940-01-01,1940,Início Segunda Guerra Mundial,Guerra Global,Guerra Global,Alto,Historical_Dataset_Comprehensive
1940-01-01,1940,Consequências de Início Segunda Guerra Mundial...,Guerra Global (Consequências),Guerra Global (Consequências),Médio,Historical_Dataset_Comprehensive
1936-01-01,1936,Evento relacionado a Início Segunda Guerr...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1939-01-01,1939,Evento relacionado a Início Segunda Guerr...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1941-01-01,1941,Evento relacionado a Início Segunda Guerr...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1942-01-01,1942,Evento relacionado a Início Segunda Guerr...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1944-01-01,1944,Fim Segunda Guerra Mundial,Guerra Global,Guerra Global,Alto,Historical_Dataset_Comprehensive
1945-01-01,1945,Consequências de Fim Segunda Guerra Mundial...,Guerra Global (Consequências),Guerra Global (Consequências),Médio,Historical_Dataset_Comprehensive
1944-01-01,1944,Evento relacionado a Fim Segunda Guerra M...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1945-01-01,1945,Evento relacionado a Fim Segunda Guerra M...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1948-01-01,1948,Evento relacionado a Fim Segunda Guerra M...,Guerra Global (Relacionado),Guerra Global (Relacionado),Baixo,Historical_Dataset_Comprehensive
1950-01-01,1950,Guerra da Coreia,Guerra Regional,Guerra Regional,Alto,Historical_Dataset_Comprehensive
1951-01-01,1951,Consequências de Guerra da Coreia...,Guerra Regional (Consequências),Guerra Regional (Consequências),Médio,Historical_Dataset_Comprehensive
1948-01-01,1948,Evento relacionado a Guerra da Coreia...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1950-01-01,1950,Evento relacionado a Guerra da Coreia...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1952-01-01,1952,Evento relacionado a Guerra da Coreia...,Guerra Regional (Relacionado),Guerra Regional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1957-01-01,1957,Crise de Suez,Conflito Internacional,Conflito Internacional,Médio,Historical_Dataset_Comprehensive
1953-01-01,1953,Evento relacionado a Crise de Suez...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1955-01-01,1955,Evento relacionado a Crise de Suez...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1956-01-01,1956,Evento relacionado a Crise de Suez...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1958-01-01,1958,Evento relacionado a Crise de Suez...,Conflito Internacional (Relacionado),Conflito Internacional (Relacionado),Baixo,Historical_Dataset_Comprehensive
1962-01-01,1962,Crise dos Mísseis Cubanos,Crise Nuclear,Crise Nuclear,Alto,Historical_Dataset_Comprehensive
1962-01-01,1962,Consequências de Crise dos Mísseis Cubanos...,Crise Nuclear (Consequências),Crise Nuclear (Consequências),Médio,Historical_Dataset_Comprehensive
1961-01-01,1961,Evento relacionado a Crise dos Mísseis Cu...,Crise Nuclear (Relacionado),Crise Nuclear (Relacionado),Baixo,Historical_Dataset_Comprehensive
